cell_type,current_sp,time,current,voltage
SONY 2170 VTC6A,21,2019-12-01T13:53:32.591159,0.07,4.255
SONY 2170 VTC6A,21,2019-12-01T13:53:33.254526,0.07,4.255
SONY 2170 VTC6A,21,2019-12-01T13:53:33.912686,0.07,4.255
SONY 2170 VTC6A,21,2019-12-01T13:53:34.559961,0.07,4.255
SONY 2170 VTC6A,21,2019-12-01T13:53:35.198755,0.07,4.255
SONY 2170 VTC6A,21,2019-12-01T13:53:35.894530,21.06,3.906
SONY 2170 VTC6A,21,2019-12-01T13:53:36.486417,21.06,3.857
SONY 2170 VTC6A,21,2019-12-01T13:53:37.077509,21.06,3.84
SONY 2170 VTC6A,21,2019-12-01T13:53:37.670817,21.06,3.823
SONY 2170 VTC6A,21,2019-12-01T13:53:38.263680,21.06,3.807
SONY 2170 VTC6A,21,2019-12-01T13:53:38.855934,21.06,3.79
SONY 2170 VTC6A,21,2019-12-01T13:53:39.457741,21.06,3.79
SONY 2170 VTC6A,21,2019-12-01T13:53:40.049518,21.06,3.774
SONY 2170 VTC6A,21,2019-12-01T13:53:40.640235,21.06,3.774
SONY 2170 VTC6A,21,2019-12-01T13:53:41.233681,21.06,3.774
SONY 2170 VTC6A,21,2019-12-01T13:53:41.828844,21.06,3.757
SONY 2170 VTC6A,21,2019-12-01T13:53:42.422866,21.06,3.757
SONY 2170 VTC6A,21,2019-12-01T13:53:43.038997,21.06,3.74
SONY 2170 VTC6A,21,2019-12-01T13:53:43.633283,21.06,3.74
SONY 2170 VTC6A,21,2019-12-01T13:53:44.233328,21.06,3.74
SONY 2170 VTC6A,21,2019-12-01T13:53:44.862641,21.06,3.724
SONY 2170 VTC6A,21,2019-12-01T13:53:45.454153,21.06,3.724
SONY 2170 VTC6A,21,2019-12-01T13:53:46.047860,21.06,3.724
SONY 2170 VTC6A,21,2019-12-01T13:53:46.655082,21.06,3.724
SONY 2170 VTC6A,21,2019-12-01T13:53:47.291091,21.06,3.707
SONY 2170 VTC6A,21,2019-12-01T13:53:47.889744,21.06,3.707
SONY 2170 VTC6A,21,2019-12-01T13:53:48.488637,21.06,3.707
SONY 2170 VTC6A,21,2019-12-01T13:53:49.086301,21.06,3.707
SONY 2170 VTC6A,21,2019-12-01T13:53:49.698496,21.06,3.707
SONY 2170 VTC6A,21,2019-12-01T13:53:50.304871,21.06,3.707
SONY 2170 VTC6A,21,2019-12-01T13:53:50.912749,21.06,3.691
SONY 2170 VTC6A,21,2019-12-01T13:53:51.522274,21.06,3.691
SONY 2170 VTC6A,21,2019-12-01T13:53:52.129226,21.06,3.691
SONY 2170 VTC6A,21,2019-12-01T13:53:52.737459,21.06,3.691
SONY 2170 VTC6A,21,2019-12-01T13:53:53.344553,21.06,3.691
SONY 2170 VTC6A,21,2019-12-01T13:53:53.951734,21.06,3.691
SONY 2170 VTC6A,21,2019-12-01T13:53:54.559698,21.06,3.691
SONY 2170 VTC6A,21,2019-12-01T13:53:55.165916,21.06,3.691
SONY 2170 VTC6A,21,2019-12-01T13:53:55.773980,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:53:56.387633,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:53:56.992790,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:53:57.598623,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:53:58.210996,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:53:58.824525,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:53:59.444596,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:54:00.045564,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:54:00.647071,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:54:01.255703,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:54:01.864690,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:54:02.472779,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:54:03.081139,21.06,3.674
SONY 2170 VTC6A,21,2019-12-01T13:54:03.683981,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:04.291731,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:04.899625,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:05.507014,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:06.122126,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:06.724133,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:07.332002,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:07.941469,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:08.549135,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:09.156197,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:09.763531,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:10.371469,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:10.979080,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:11.587270,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:12.201532,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:12.808482,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:13.452093,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:14.051710,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:14.646007,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:15.246873,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:15.848598,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:16.457277,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:17.064953,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:17.673031,21.06,3.657
SONY 2170 VTC6A,21,2019-12-01T13:54:18.309999,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:18.901105,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:19.493968,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:20.101359,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:20.708672,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:21.314846,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:21.920836,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:22.534383,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:23.140219,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:23.746720,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:24.359106,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:24.965703,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:25.572575,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:26.179695,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:26.785612,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:27.408495,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:28.006485,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:28.612830,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:29.218432,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:29.824214,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:30.429719,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:31.035832,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:31.643281,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:32.249226,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:32.854545,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:33.459390,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:34.071919,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:34.684708,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:35.290022,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:35.903026,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:36.507115,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:37.111289,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:37.717693,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:38.355607,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:38.956173,21.06,3.641
SONY 2170 VTC6A,21,2019-12-01T13:54:39.557790,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:40.158430,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:40.759000,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:41.367058,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:41.982346,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:42.590240,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:43.198201,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:43.806459,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:44.413502,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:45.020784,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:45.628710,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:46.236695,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:46.844778,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:47.453416,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:48.060517,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:48.667621,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:49.274171,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:49.911202,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:50.504028,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:51.103380,21.06,3.624
SONY 2170 VTC6A,21,2019-12-01T13:54:51.703894,21.06,3.624
