cell_type,current_sp,time,current,voltage
SONY 2170 VTC6A A,21,2019-12-01T14:30:01.113851,0.07,4.188
SONY 2170 VTC6A A,21,2019-12-01T14:30:01.778792,0.07,4.205
SONY 2170 VTC6A A,21,2019-12-01T14:30:02.438491,0.07,4.188
SONY 2170 VTC6A A,21,2019-12-01T14:30:03.114324,0.07,4.188
SONY 2170 VTC6A A,21,2019-12-01T14:30:03.761799,0.07,4.188
SONY 2170 VTC6A A,21,2019-12-01T14:30:04.513319,21.06,3.94
SONY 2170 VTC6A A,21,2019-12-01T14:30:05.131611,21.06,3.906
SONY 2170 VTC6A A,21,2019-12-01T14:30:05.743497,21.06,3.89
SONY 2170 VTC6A A,21,2019-12-01T14:30:06.354736,21.06,3.873
SONY 2170 VTC6A A,21,2019-12-01T14:30:07.006225,21.06,3.857
SONY 2170 VTC6A A,21,2019-12-01T14:30:07.621825,21.06,3.807
SONY 2170 VTC6A A,21,2019-12-01T14:30:08.259738,21.06,3.823
SONY 2170 VTC6A A,21,2019-12-01T14:30:08.868078,21.06,3.807
SONY 2170 VTC6A A,21,2019-12-01T14:30:09.460172,21.06,3.807
SONY 2170 VTC6A A,21,2019-12-01T14:30:10.051997,21.06,3.807
SONY 2170 VTC6A A,21,2019-12-01T14:30:10.659442,21.06,3.807
SONY 2170 VTC6A A,21,2019-12-01T14:30:11.274418,21.06,3.807
SONY 2170 VTC6A A,21,2019-12-01T14:30:11.905002,21.06,3.79
SONY 2170 VTC6A A,21,2019-12-01T14:30:12.496517,21.06,3.79
SONY 2170 VTC6A A,21,2019-12-01T14:30:13.095425,21.06,3.79
SONY 2170 VTC6A A,21,2019-12-01T14:30:13.695341,21.06,3.79
SONY 2170 VTC6A A,21,2019-12-01T14:30:14.301248,21.06,3.79
SONY 2170 VTC6A A,21,2019-12-01T14:30:14.913760,21.06,3.774
SONY 2170 VTC6A A,21,2019-12-01T14:30:15.521872,21.06,3.774
SONY 2170 VTC6A A,21,2019-12-01T14:30:16.162687,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:16.772948,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:17.366054,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:17.959732,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:18.591446,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:19.201016,21.06,3.757
SONY 2170 VTC6A A,21,2019-12-01T14:30:19.803270,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:20.412435,21.06,3.724
SONY 2170 VTC6A A,21,2019-12-01T14:30:21.006261,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:21.630351,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:22.223200,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:22.823219,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:23.424482,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:24.031319,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:24.638608,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:25.245055,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:25.853964,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:26.461945,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:27.070597,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:27.687068,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:28.294705,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:28.902588,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:29.509349,21.06,3.724
SONY 2170 VTC6A A,21,2019-12-01T14:30:30.116866,21.06,3.724
SONY 2170 VTC6A A,21,2019-12-01T14:30:30.723202,21.06,3.724
SONY 2170 VTC6A A,21,2019-12-01T14:30:31.338439,21.06,3.724
SONY 2170 VTC6A A,21,2019-12-01T14:30:31.938985,21.06,3.724
SONY 2170 VTC6A A,21,2019-12-01T14:30:32.546556,21.06,3.724
SONY 2170 VTC6A A,21,2019-12-01T14:30:33.160850,21.06,3.724
SONY 2170 VTC6A A,21,2019-12-01T14:30:33.768756,21.06,3.74
SONY 2170 VTC6A A,21,2019-12-01T14:30:34.404829,21.06,3.724
SONY 2170 VTC6A A,21,2019-12-01T14:30:35.019034,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:35.627637,21.06,3.724
SONY 2170 VTC6A A,21,2019-12-01T14:30:36.234730,21.06,3.724
SONY 2170 VTC6A A,21,2019-12-01T14:30:36.841334,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:30:37.448903,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:38.038836,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:38.636257,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:39.284467,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:30:39.878481,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:40.470590,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:41.071071,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:41.678033,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:42.283815,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:42.890082,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:43.498151,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:44.104658,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:44.717494,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:45.323731,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:45.929294,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:46.542419,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:47.148010,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:47.762910,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:48.370053,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:48.977069,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:49.583052,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:50.189335,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:50.803121,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:51.410024,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:52.022841,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:52.634965,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:53.271080,21.06,3.707
SONY 2170 VTC6A A,21,2019-12-01T14:30:53.872334,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:30:54.465864,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:30:55.065430,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:30:55.673415,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:30:56.288513,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:30:56.895621,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:30:57.503005,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:30:58.110258,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:30:58.724632,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:30:59.331611,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:30:59.937908,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:31:00.546004,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:31:01.154989,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:31:01.763314,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:31:02.372184,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:31:02.979668,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:31:03.618634,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:31:04.211987,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:31:04.812776,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:31:05.412961,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:31:06.021041,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:31:06.659678,21.06,3.691
SONY 2170 VTC6A A,21,2019-12-01T14:31:07.252007,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:07.850949,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:08.457253,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:09.063815,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:09.671398,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:10.286317,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:10.893394,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:11.506128,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:12.111740,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:12.725597,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:13.331036,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:13.937136,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:14.543028,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:15.157215,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:15.756351,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:16.362787,21.06,3.674
SONY 2170 VTC6A A,21,2019-12-01T14:31:16.997618,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:17.595202,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:18.185413,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:18.798170,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:19.405656,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:20.012883,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:20.619585,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:21.226261,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:21.833055,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:22.439100,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:23.045299,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:23.652557,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:24.259108,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:24.864704,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:25.470748,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:26.077304,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:26.682928,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:27.290693,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:27.896821,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:28.501919,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:29.115111,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:29.727443,21.06,3.657
SONY 2170 VTC6A A,21,2019-12-01T14:31:30.369659,21.06,3.641
SONY 2170 VTC6A A,21,2019-12-01T14:31:30.965846,21.06,3.641
SONY 2170 VTC6A A,21,2019-12-01T14:31:31.563688,21.06,3.641
SONY 2170 VTC6A A,21,2019-12-01T14:31:32.175707,21.06,3.641
SONY 2170 VTC6A A,21,2019-12-01T14:31:32.788587,21.06,3.641
SONY 2170 VTC6A A,21,2019-12-01T14:31:33.393728,21.06,3.641
SONY 2170 VTC6A A,21,2019-12-01T14:31:33.999067,21.06,3.641
SONY 2170 VTC6A A,21,2019-12-01T14:31:34.604164,21.06,3.641
SONY 2170 VTC6A A,21,2019-12-01T14:31:35.209706,21.06,3.641
SONY 2170 VTC6A A,21,2019-12-01T14:31:35.814037,21.06,3.641
