cell_type,current_sp,time,current,voltage
Samsung INR21700-40T A,21,2019-11-30T20:49:11.623051,0.07,4.155
Samsung INR21700-40T A,21,2019-11-30T20:49:12.286497,0.07,4.155
Samsung INR21700-40T A,21,2019-11-30T20:49:12.961496,0.07,4.155
Samsung INR21700-40T A,21,2019-11-30T20:49:13.606106,0.07,4.155
Samsung INR21700-40T A,21,2019-11-30T20:49:14.244182,0.07,4.155
Samsung INR21700-40T A,21,2019-11-30T20:49:14.987370,21.06,3.873
Samsung INR21700-40T A,21,2019-11-30T20:49:15.611289,21.06,3.84
Samsung INR21700-40T A,21,2019-11-30T20:49:16.262119,21.06,3.823
Samsung INR21700-40T A,21,2019-11-30T20:49:16.876828,21.06,3.823
Samsung INR21700-40T A,21,2019-11-30T20:49:17.490519,21.06,3.807
Samsung INR21700-40T A,21,2019-11-30T20:49:18.095814,21.06,3.807
Samsung INR21700-40T A,21,2019-11-30T20:49:18.732135,21.06,3.79
Samsung INR21700-40T A,21,2019-11-30T20:49:19.327328,21.06,3.79
Samsung INR21700-40T A,21,2019-11-30T20:49:19.922834,21.06,3.79
Samsung INR21700-40T A,21,2019-11-30T20:49:20.524894,21.06,3.79
Samsung INR21700-40T A,21,2019-11-30T20:49:21.134097,21.06,3.774
Samsung INR21700-40T A,21,2019-11-30T20:49:21.741768,21.06,3.774
Samsung INR21700-40T A,21,2019-11-30T20:49:22.349906,21.06,3.774
Samsung INR21700-40T A,21,2019-11-30T20:49:22.959391,21.06,3.774
Samsung INR21700-40T A,21,2019-11-30T20:49:23.566532,21.06,3.774
Samsung INR21700-40T A,21,2019-11-30T20:49:24.206007,21.06,3.757
Samsung INR21700-40T A,21,2019-11-30T20:49:24.800690,21.06,3.757
Samsung INR21700-40T A,21,2019-11-30T20:49:25.401221,21.06,3.757
Samsung INR21700-40T A,21,2019-11-30T20:49:25.994796,21.06,3.757
Samsung INR21700-40T A,21,2019-11-30T20:49:26.610988,21.06,3.757
Samsung INR21700-40T A,21,2019-11-30T20:49:27.211800,21.06,3.757
Samsung INR21700-40T A,21,2019-11-30T20:49:27.850338,21.06,3.74
Samsung INR21700-40T A,21,2019-11-30T20:49:28.443435,21.06,3.74
Samsung INR21700-40T A,21,2019-11-30T20:49:29.036318,21.06,3.74
Samsung INR21700-40T A,21,2019-11-30T20:49:29.643509,21.06,3.74
Samsung INR21700-40T A,21,2019-11-30T20:49:30.250917,21.06,3.74
Samsung INR21700-40T A,21,2019-11-30T20:49:30.859374,21.06,3.74
Samsung INR21700-40T A,21,2019-11-30T20:49:31.473718,21.06,3.74
Samsung INR21700-40T A,21,2019-11-30T20:49:32.081409,21.06,3.74
Samsung INR21700-40T A,21,2019-11-30T20:49:32.688090,21.06,3.74
Samsung INR21700-40T A,21,2019-11-30T20:49:33.294644,21.06,3.74
