cell_type,current_sp,time,current,voltage
SONY 18650 VTC60,21,2019-11-30T19:55:22.680579,0.07,3.989
SONY 18650 VTC60,21,2019-11-30T19:55:23.323619,0.07,3.989
SONY 18650 VTC60,21,2019-11-30T19:55:23.967128,0.07,3.989
SONY 18650 VTC60,21,2019-11-30T19:55:24.635844,0.07,3.989
SONY 18650 VTC60,21,2019-11-30T19:55:25.296138,0.07,3.989
SONY 18650 VTC60,21,2019-11-30T19:55:26.008403,21.06,3.641
SONY 18650 VTC60,21,2019-11-30T19:55:26.601024,21.06,3.641
SONY 18650 VTC60,21,2019-11-30T19:55:27.199322,21.06,3.641
SONY 18650 VTC60,21,2019-11-30T19:55:27.821335,21.06,3.624
SONY 18650 VTC60,21,2019-11-30T19:55:28.415435,21.06,3.624
SONY 18650 VTC60,21,2019-11-30T19:55:29.014229,21.06,3.624
SONY 18650 VTC60,21,2019-11-30T19:55:29.642790,21.06,3.608
SONY 18650 VTC60,21,2019-11-30T19:55:30.233581,21.06,3.608
SONY 18650 VTC60,21,2019-11-30T19:55:30.824458,21.06,3.608
SONY 18650 VTC60,21,2019-11-30T19:55:31.437222,21.06,3.608
SONY 18650 VTC60,21,2019-11-30T19:55:32.079345,21.06,3.591
SONY 18650 VTC60,21,2019-11-30T19:55:32.672028,21.06,3.591
SONY 18650 VTC60,21,2019-11-30T19:55:33.265380,21.06,3.591
SONY 18650 VTC60,21,2019-11-30T19:55:33.873184,21.06,3.591
SONY 18650 VTC60,21,2019-11-30T19:55:34.480377,21.06,3.591
SONY 18650 VTC60,21,2019-11-30T19:55:35.118036,21.06,3.574
SONY 18650 VTC60,21,2019-11-30T19:55:35.709444,21.06,3.574
SONY 18650 VTC60,21,2019-11-30T19:55:36.308405,21.06,3.574
SONY 18650 VTC60,21,2019-11-30T19:55:36.908310,21.06,3.574
SONY 18650 VTC60,21,2019-11-30T19:55:37.514418,21.06,3.574
SONY 18650 VTC60,21,2019-11-30T19:55:38.126291,21.06,3.574
SONY 18650 VTC60,21,2019-11-30T19:55:38.732580,21.06,3.574
SONY 18650 VTC60,21,2019-11-30T19:55:39.342265,21.06,3.558
SONY 18650 VTC60,21,2019-11-30T19:55:39.950651,21.06,3.558
SONY 18650 VTC60,21,2019-11-30T19:55:40.562216,21.06,3.558
SONY 18650 VTC60,21,2019-11-30T19:55:41.172070,21.06,3.558
SONY 18650 VTC60,21,2019-11-30T19:55:41.773426,21.06,3.558
SONY 18650 VTC60,21,2019-11-30T19:55:42.383455,21.06,3.558
SONY 18650 VTC60,21,2019-11-30T19:55:42.992404,21.06,3.558
SONY 18650 VTC60,21,2019-11-30T19:55:43.623335,21.06,3.541
SONY 18650 VTC60,21,2019-11-30T19:55:44.232829,21.06,3.541
SONY 18650 VTC60,21,2019-11-30T19:55:44.825927,21.06,3.541
SONY 18650 VTC60,21,2019-11-30T19:55:45.426017,21.06,3.541
SONY 18650 VTC60,21,2019-11-30T19:55:46.025506,21.06,3.541
SONY 18650 VTC60,21,2019-11-30T19:55:46.632925,21.06,3.541
SONY 18650 VTC60,21,2019-11-30T19:55:47.239962,21.06,3.541
SONY 18650 VTC60,21,2019-11-30T19:55:47.846691,21.06,3.541
SONY 18650 VTC60,21,2019-11-30T19:55:48.456797,21.06,3.541
SONY 18650 VTC60,21,2019-11-30T19:55:49.059388,21.06,3.525
SONY 18650 VTC60,21,2019-11-30T19:55:49.668331,21.06,3.525
SONY 18650 VTC60,21,2019-11-30T19:55:50.276189,21.06,3.525
SONY 18650 VTC60,21,2019-11-30T19:55:50.884874,21.06,3.525
SONY 18650 VTC60,21,2019-11-30T19:55:51.492572,21.06,3.525
SONY 18650 VTC60,21,2019-11-30T19:55:52.100179,21.06,3.525
SONY 18650 VTC60,21,2019-11-30T19:55:52.708797,21.06,3.525
SONY 18650 VTC60,21,2019-11-30T19:55:53.317498,21.06,3.525
SONY 18650 VTC60,21,2019-11-30T19:55:53.925643,21.06,3.525
SONY 18650 VTC60,21,2019-11-30T19:55:54.533291,21.06,3.525
SONY 18650 VTC60,21,2019-11-30T19:55:55.140513,21.06,3.508
SONY 18650 VTC60,21,2019-11-30T19:55:55.747345,21.06,3.508
SONY 18650 VTC60,21,2019-11-30T19:55:56.355478,21.06,3.508
SONY 18650 VTC60,21,2019-11-30T19:55:56.969496,21.06,3.508
SONY 18650 VTC60,21,2019-11-30T19:55:57.575634,21.06,3.508
SONY 18650 VTC60,21,2019-11-30T19:55:58.181451,21.06,3.508
SONY 18650 VTC60,21,2019-11-30T19:55:58.818541,21.06,3.491
SONY 18650 VTC60,21,2019-11-30T19:55:59.412632,21.06,3.491
SONY 18650 VTC60,21,2019-11-30T19:56:00.035859,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:00.645203,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:01.243883,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:01.843104,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:02.442369,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:03.040863,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:03.654627,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:04.262039,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:04.874665,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:05.512327,21.06,3.491
SONY 18650 VTC60,21,2019-11-30T19:56:06.105643,21.06,3.491
SONY 18650 VTC60,21,2019-11-30T19:56:06.727585,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:07.318691,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:07.916926,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:08.530691,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:09.143597,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:09.751269,21.06,3.491
SONY 18650 VTC60,21,2019-11-30T19:56:10.357237,21.06,3.491
SONY 18650 VTC60,21,2019-11-30T19:56:10.962956,21.06,3.491
SONY 18650 VTC60,21,2019-11-30T19:56:11.569230,21.06,3.491
SONY 18650 VTC60,21,2019-11-30T19:56:12.176049,21.06,3.491
SONY 18650 VTC60,21,2019-11-30T19:56:12.818223,21.06,3.491
SONY 18650 VTC60,21,2019-11-30T19:56:13.411875,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:14.014529,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:14.615508,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:15.224921,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:15.833700,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:16.443176,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:17.051402,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:17.659955,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:18.268619,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:18.876610,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:19.484634,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:20.101824,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:20.702135,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:21.308950,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:21.916556,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:22.525067,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:23.134788,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:23.742736,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:24.351922,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:24.959978,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:25.567610,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:26.182092,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:26.789168,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:27.396955,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:28.013243,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:28.613567,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:29.220562,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:29.827530,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:30.434558,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:31.041533,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:31.654553,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:32.262187,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:32.901654,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:33.494835,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:34.095617,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:34.695397,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:35.303283,21.06,3.475
SONY 18650 VTC60,21,2019-11-30T19:56:35.911739,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:36.513221,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:37.120217,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:37.727142,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:38.335174,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:38.943394,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:39.550814,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:40.158915,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:40.765963,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:41.373210,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:41.979505,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:42.593380,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:43.199252,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:43.806555,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:44.415640,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:45.023378,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:45.660886,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:46.260312,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:46.860855,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:47.459908,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:48.068646,21.06,3.458
SONY 18650 VTC60,21,2019-11-30T19:56:48.705090,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:49.303087,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:49.900671,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:50.499349,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:51.104912,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:51.718179,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:52.324537,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:52.937101,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:53.542179,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:54.154220,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:54.759408,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:55.363801,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:55.977310,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:56.583840,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:57.191500,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:57.799870,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:58.406220,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:59.013942,21.06,3.442
SONY 18650 VTC60,21,2019-11-30T19:56:59.620801,21.06,3.442
