cell_type,current_sp,time,current,voltage
GREPOW - 32-0003,120,2019-11-03T15:45:40.767695,0.07,4.155
GREPOW - 32-0003,120,2019-11-03T15:45:41.414163,0.07,4.155
GREPOW - 32-0003,120,2019-11-03T15:45:42.061919,0.07,4.155
GREPOW - 32-0003,120,2019-11-03T15:45:42.723135,0.07,4.155
GREPOW - 32-0003,120,2019-11-03T15:45:43.418133,0.07,4.172
GREPOW - 32-0003,120,2019-11-03T15:45:44.121610,120.0,3.126
GREPOW - 32-0003,120,2019-11-03T15:45:44.716156,120.0,3.16
GREPOW - 32-0003,120,2019-11-03T15:45:45.317378,120.0,3.16
GREPOW - 32-0003,120,2019-11-03T15:45:45.911996,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:45:46.511276,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:45:47.110651,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:45:47.710224,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:45:48.316545,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:45:48.911606,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:45:49.508764,120.0,3.16
GREPOW - 32-0003,120,2019-11-03T15:45:50.107021,120.0,3.16
GREPOW - 32-0003,120,2019-11-03T15:45:50.710922,120.0,3.16
GREPOW - 32-0003,120,2019-11-03T15:45:51.314157,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:45:51.923509,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:45:52.532587,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:45:53.164344,120.0,3.193
GREPOW - 32-0003,120,2019-11-03T15:45:53.759897,120.0,3.193
GREPOW - 32-0003,120,2019-11-03T15:45:54.354560,120.0,3.193
GREPOW - 32-0003,120,2019-11-03T15:45:54.955341,120.0,3.193
GREPOW - 32-0003,120,2019-11-03T15:45:55.595369,120.0,3.16
GREPOW - 32-0003,120,2019-11-03T15:45:56.198239,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:45:56.792446,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:45:57.386571,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:45:58.018469,120.0,3.193
GREPOW - 32-0003,120,2019-11-03T15:45:58.620440,120.0,3.193
GREPOW - 32-0003,120,2019-11-03T15:45:59.214430,120.0,3.193
GREPOW - 32-0003,120,2019-11-03T15:45:59.815144,120.0,3.193
GREPOW - 32-0003,120,2019-11-03T15:46:00.446550,120.0,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:01.046513,120.0,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:01.642357,120.0,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:02.244960,120.0,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:02.847318,120.0,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:03.456524,120.0,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:04.065175,120.0,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:04.673214,120.0,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:05.274686,119.96,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:05.885035,120.0,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:06.492561,119.96,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:07.100109,120.0,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:07.709214,119.96,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:08.318828,119.96,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:08.920608,120.0,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:09.538704,119.96,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:10.161602,120.0,3.176
GREPOW - 32-0003,120,2019-11-03T15:46:10.769668,119.96,3.193
GREPOW - 32-0003,120,2019-11-03T15:46:11.368817,119.96,3.193
GREPOW - 32-0003,120,2019-11-03T15:46:11.967975,119.96,3.193
GREPOW - 32-0003,120,2019-11-03T15:46:12.568714,119.96,3.193
GREPOW - 32-0003,120,2019-11-03T15:46:13.206006,119.96,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:13.799651,119.96,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:14.398779,119.96,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:15.004890,119.96,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:15.618325,119.96,3.209
GREPOW - 32-0003,120,2019-11-03T15:46:16.224784,120.0,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:16.830918,119.96,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:17.436190,119.96,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:18.042254,119.96,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:18.646423,119.96,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:19.251642,119.96,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:19.855614,119.96,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:20.460682,119.96,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:21.063813,119.96,3.226
GREPOW - 32-0003,120,2019-11-03T15:46:21.700018,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:22.295770,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:22.891919,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:23.487162,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:24.089827,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:24.693401,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:25.302912,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:25.906120,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:26.514608,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:27.118279,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:27.722592,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:28.333240,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:28.936276,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:29.539963,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:30.143129,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:30.746013,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:31.355379,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:31.958198,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:32.567854,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:33.177459,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:33.788631,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:34.391499,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:35.001257,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:35.603089,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:36.211904,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:36.814683,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:37.432229,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:38.026315,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:38.635087,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:39.244232,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:39.852204,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:40.462749,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:41.066777,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:41.701960,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:42.297985,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:42.900632,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:43.503591,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:44.106056,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:44.701927,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:45.304777,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:45.907799,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:46.518362,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:47.120072,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:47.729209,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:48.338832,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:48.942533,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:49.546666,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:50.149022,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:50.758780,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:51.360985,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:51.970295,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:52.572731,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:53.182249,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:53.786057,119.96,3.243
GREPOW - 32-0003,120,2019-11-03T15:46:54.394336,119.96,3.243
